Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login as admin,Chrome 66.0.3359.139,,2018-05-10 20:44:24,2018-05-10 20:44:40,16.207s,PASSED
,,,,,,
Test Cases/Navigate to web,Chrome 66.0.3359.139,Use to navigate to certain urls,2018-05-10 20:44:24,2018-05-10 20:44:36,12.195s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 20:44:25,2018-05-10 20:44:29,4.527s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 20:44:29,2018-05-10 20:44:36,7.254s,PASSED
,,,,,,
Test Cases/1-Login as Admin,Chrome 66.0.3359.139,,2018-05-10 20:44:36,2018-05-10 20:44:39,2.537s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 20:44:37,2018-05-10 20:44:37,0.379s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 20:44:37,2018-05-10 20:44:37,0.240s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 20:44:37,2018-05-10 20:44:38,0.225s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-10 20:44:38,2018-05-10 20:44:39,1.141s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-10 20:44:39,2018-05-10 20:44:39,0.087s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 20:44:39,2018-05-10 20:44:39,0.171s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-10 20:44:39,2018-05-10 20:44:39,0.050s,PASSED
,,,,,,
Test Cases/Exit browser,Chrome 66.0.3359.139,use to terminate browser when testcase is done,2018-05-10 20:44:39,2018-05-10 20:44:40,0.848s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 20:44:39,2018-05-10 20:44:40,0.671s,PASSED
