Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Selecting products updates the number in carts,Firefox 59.0,,2018-04-30 14:38:24,2018-04-30 14:38:38,13.695s,ERROR
,,,,,,
Test Cases/Navigate to web,Firefox 59.0,Use to navigate to certain urls,2018-04-30 14:38:24,2018-04-30 14:38:36,11.604s,PASSED
openBrowser,Firefox 59.0,,2018-04-30 14:38:25,2018-04-30 14:38:30,5.567s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-30 14:38:30,2018-04-30 14:38:36,5.639s,PASSED
,,,,,,
Test Cases/Login with credentials,Firefox 59.0,This test case will login with given infos,2018-04-30 14:38:36,2018-04-30 14:38:37,0.824s,PASSED
setText,Firefox 59.0,,2018-04-30 14:38:36,2018-04-30 14:38:36,0.181s,PASSED
setText,Firefox 59.0,,2018-04-30 14:38:36,2018-04-30 14:38:36,0.094s,PASSED
click,Firefox 59.0,,2018-04-30 14:38:36,2018-04-30 14:38:37,0.309s,PASSED
,,,,,,
Test Cases/Selecting product,Firefox 59.0,,2018-04-30 14:38:37,2018-04-30 14:38:37,0.292s,ERROR
,,,,,,
Test Cases/Exit browser,Firefox 59.0,use to terminate browser when testcase is done,2018-04-30 14:38:37,2018-04-30 14:38:38,0.475s,PASSED
closeBrowser,Firefox 59.0,,2018-04-30 14:38:37,2018-04-30 14:38:38,0.295s,PASSED
