Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Select product and view cart,Firefox 59.0,,2018-04-30 18:52:58,2018-04-30 18:53:50,52.501s,FAILED
,,,,,,
Test Cases/Navigate to web,Firefox 59.0,Use to navigate to certain urls,2018-04-30 18:52:58,2018-04-30 18:53:13,15.196s,PASSED
openBrowser,Firefox 59.0,,2018-04-30 18:52:59,2018-04-30 18:53:04,5.550s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-30 18:53:04,2018-04-30 18:53:13,9.223s,PASSED
,,,,,,
Test Cases/Login with credentials,Firefox 59.0,This test case will login with given infos,2018-04-30 18:53:13,2018-04-30 18:53:14,0.843s,PASSED
setText,Firefox 59.0,,2018-04-30 18:53:14,2018-04-30 18:53:14,0.183s,PASSED
setText,Firefox 59.0,,2018-04-30 18:53:14,2018-04-30 18:53:14,0.095s,PASSED
click,Firefox 59.0,,2018-04-30 18:53:14,2018-04-30 18:53:14,0.317s,PASSED
,,,,,,
Test Cases/Selecting product and view cart,Firefox 59.0,,2018-04-30 18:53:14,2018-04-30 18:53:50,35.412s,FAILED
delay,Firefox 59.0,,2018-04-30 18:53:14,2018-04-30 18:53:17,2.029s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Firefox 59.0,,2018-04-30 18:53:17,2018-04-30 18:53:17,0.002s,PASSED
"Statement - Products = driver.findElement(org.openqa.selenium.By.xpath(""/html/body/app-root/app-product-list/div/div[2]/div""))",Firefox 59.0,,2018-04-30 18:53:17,2018-04-30 18:53:17,0.040s,PASSED
"Statement - farmerCards = Products.findElements(org.openqa.selenium.By.className(""farmer-card""))",Firefox 59.0,,2018-04-30 18:53:17,2018-04-30 18:53:17,0.040s,PASSED
"Statement - For ([i = 1, i <= farmerCards.size(), (i++)])",Firefox 59.0,,2018-04-30 18:53:17,2018-04-30 18:53:50,33.003s,FAILED
,,,,,,
Test Cases/Exit browser,Firefox 59.0,use to terminate browser when testcase is done,2018-04-30 18:53:50,2018-04-30 18:53:50,0.516s,PASSED
closeBrowser,Firefox 59.0,,2018-04-30 18:53:50,2018-04-30 18:53:50,0.369s,PASSED
