Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify all available product is shown,Firefox 59.0,,2018-04-29 12:26:52,2018-04-29 12:27:36,44.222s,FAILED
,,,,,,
Test Cases/Navigate to web,Firefox 59.0,Use to navigate to certain urls,2018-04-29 12:26:52,2018-04-29 12:27:33,40.875s,PASSED
openBrowser,Firefox 59.0,,2018-04-29 12:26:53,2018-04-29 12:26:58,5.777s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-29 12:26:58,2018-04-29 12:27:33,34.694s,PASSED
,,,,,,
Test Cases/Login with credentials,Firefox 59.0,This test case will login with given infos,2018-04-29 12:27:33,2018-04-29 12:27:34,0.862s,PASSED
setText,Firefox 59.0,,2018-04-29 12:27:33,2018-04-29 12:27:34,0.183s,PASSED
setText,Firefox 59.0,,2018-04-29 12:27:34,2018-04-29 12:27:34,0.082s,PASSED
click,Firefox 59.0,,2018-04-29 12:27:34,2018-04-29 12:27:34,0.297s,PASSED
,,,,,,
Test Cases/Test product add,Firefox 59.0,,2018-04-29 12:27:34,2018-04-29 12:27:35,1.427s,FAILED
waitForElementPresent,Firefox 59.0,,2018-04-29 12:27:34,2018-04-29 12:27:35,1.055s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Firefox 59.0,,2018-04-29 12:27:35,2018-04-29 12:27:35,0.010s,PASSED
"Statement - Products = driver.findElement(org.openqa.selenium.By.xpath(""/html/body/app-root/app-product-list/div/div[2]""))",Firefox 59.0,,2018-04-29 12:27:35,2018-04-29 12:27:35,0.031s,PASSED
"Statement - farmerCards = Products.findElements(org.openqa.selenium.By.className(""farmer-card""))",Firefox 59.0,,2018-04-29 12:27:35,2018-04-29 12:27:35,0.018s,PASSED
"Statement - println(""Amount of product: "" + farmerCards.size())",Firefox 59.0,,2018-04-29 12:27:35,2018-04-29 12:27:35,0.005s,PASSED
verifyEqual,Firefox 59.0,,2018-04-29 12:27:35,2018-04-29 12:27:35,0.031s,FAILED
,,,,,,
Test Cases/Exit browser,Firefox 59.0,use to terminate browser when testcase is done,2018-04-29 12:27:35,2018-04-29 12:27:36,0.491s,PASSED
closeBrowser,Firefox 59.0,,2018-04-29 12:27:36,2018-04-29 12:27:36,0.302s,PASSED
