Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify all available product is shown,Firefox 59.0,,2018-04-29 12:25:05,2018-04-29 12:25:41,36.134s,ERROR
,,,,,,
Test Cases/Navigate to web,Firefox 59.0,Use to navigate to certain urls,2018-04-29 12:25:06,2018-04-29 12:25:39,33.198s,PASSED
openBrowser,Firefox 59.0,,2018-04-29 12:25:07,2018-04-29 12:25:14,7.595s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-29 12:25:14,2018-04-29 12:25:39,24.638s,PASSED
,,,,,,
Test Cases/Login with credentials,Firefox 59.0,This test case will login with given infos,2018-04-29 12:25:39,2018-04-29 12:25:40,1.119s,PASSED
setText,Firefox 59.0,,2018-04-29 12:25:39,2018-04-29 12:25:40,0.236s,PASSED
setText,Firefox 59.0,,2018-04-29 12:25:40,2018-04-29 12:25:40,0.161s,PASSED
click,Firefox 59.0,,2018-04-29 12:25:40,2018-04-29 12:25:40,0.390s,PASSED
,,,,,,
Test Cases/Test product add,Firefox 59.0,,2018-04-29 12:25:40,2018-04-29 12:25:41,0.434s,ERROR
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Firefox 59.0,,2018-04-29 12:25:40,2018-04-29 12:25:40,0.017s,PASSED
"Statement - Products = driver.findElement(org.openqa.selenium.By.xpath(""/html/body/app-root/app-product-list/div/div[2]""))",Firefox 59.0,,2018-04-29 12:25:40,2018-04-29 12:25:41,0.082s,PASSED
,,,,,,
Test Cases/Exit browser,Firefox 59.0,use to terminate browser when testcase is done,2018-04-29 12:25:41,2018-04-29 12:25:41,0.536s,PASSED
closeBrowser,Firefox 59.0,,2018-04-29 12:25:41,2018-04-29 12:25:41,0.300s,PASSED
