Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify all available product is shown,Firefox 59.0,,2018-04-29 12:33:40,2018-04-29 12:34:10,30.148s,FAILED
,,,,,,
Test Cases/Navigate to web,Firefox 59.0,Use to navigate to certain urls,2018-04-29 12:33:41,2018-04-29 12:34:08,26.836s,PASSED
openBrowser,Firefox 59.0,,2018-04-29 12:33:42,2018-04-29 12:33:48,6.757s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-29 12:33:48,2018-04-29 12:34:08,19.504s,PASSED
,,,,,,
Test Cases/Login with credentials,Firefox 59.0,This test case will login with given infos,2018-04-29 12:34:08,2018-04-29 12:34:09,1.002s,PASSED
setText,Firefox 59.0,,2018-04-29 12:34:08,2018-04-29 12:34:08,0.212s,PASSED
setText,Firefox 59.0,,2018-04-29 12:34:08,2018-04-29 12:34:08,0.100s,PASSED
click,Firefox 59.0,,2018-04-29 12:34:08,2018-04-29 12:34:09,0.368s,PASSED
,,,,,,
Test Cases/Test product add,Firefox 59.0,,2018-04-29 12:34:09,2018-04-29 12:34:10,1.013s,FAILED
waitForElementPresent,Firefox 59.0,,2018-04-29 12:34:09,2018-04-29 12:34:10,0.569s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Firefox 59.0,,2018-04-29 12:34:10,2018-04-29 12:34:10,0.016s,PASSED
"Statement - Products = driver.findElement(org.openqa.selenium.By.xpath(""/html/body/app-root/app-product-list/div/div[2]/div""))",Firefox 59.0,,2018-04-29 12:34:10,2018-04-29 12:34:10,0.049s,PASSED
"Statement - farmerCards = Products.findElements(org.openqa.selenium.By.className(""farmer-card""))",Firefox 59.0,,2018-04-29 12:34:10,2018-04-29 12:34:10,0.024s,PASSED
"Statement - println(""Amount of product: "" + farmerCards.size())",Firefox 59.0,,2018-04-29 12:34:10,2018-04-29 12:34:10,0.006s,PASSED
verifyEqual,Firefox 59.0,,2018-04-29 12:34:10,2018-04-29 12:34:10,0.039s,FAILED
,,,,,,
Test Cases/Exit browser,Firefox 59.0,use to terminate browser when testcase is done,2018-04-29 12:34:10,2018-04-29 12:34:10,0.594s,PASSED
closeBrowser,Firefox 59.0,,2018-04-29 12:34:10,2018-04-29 12:34:10,0.360s,PASSED
