Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Select product and view cart,Chrome 66.0.3359.139,,2018-05-10 21:18:41,2018-05-10 21:19:27,46.500s,PASSED
,,,,,,
Test Cases/Navigate to web,Chrome 66.0.3359.139,Use to navigate to certain urls,2018-05-10 21:18:41,2018-05-10 21:18:58,16.675s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 21:18:42,2018-05-10 21:18:46,4.268s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 21:18:46,2018-05-10 21:18:58,12.012s,PASSED
,,,,,,
Test Cases/4-Selecting product and view cart,Chrome 66.0.3359.139,,2018-05-10 21:18:58,2018-05-10 21:19:13,15.135s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-10 21:18:58,2018-05-10 21:18:59,1.037s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 21:18:59,2018-05-10 21:19:00,0.312s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 21:19:00,2018-05-10 21:19:00,0.236s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 21:19:00,2018-05-10 21:19:00,0.193s,PASSED
waitForElementPresent,Chrome 66.0.3359.139,,2018-05-10 21:19:00,2018-05-10 21:19:02,1.611s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-10 21:19:02,2018-05-10 21:19:04,2.005s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 66.0.3359.139,,2018-05-10 21:19:04,2018-05-10 21:19:04,0.004s,PASSED
"Statement - Products = driver.findElement(org.openqa.selenium.By.xpath(""/html/body/app-root/app-product-list/div/div[2]/div""))",Chrome 66.0.3359.139,,2018-05-10 21:19:04,2018-05-10 21:19:04,0.065s,PASSED
"Statement - farmerCards = Products.findElements(org.openqa.selenium.By.className(""farmer-card""))",Chrome 66.0.3359.139,,2018-05-10 21:19:04,2018-05-10 21:19:04,0.051s,PASSED
"Statement - For ([i = 1, i <= farmerCards.size(), (i++)])",Chrome 66.0.3359.139,,2018-05-10 21:19:04,2018-05-10 21:19:11,7.079s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-10 21:19:11,2018-05-10 21:19:13,2.003s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 21:19:13,2018-05-10 21:19:13,0.173s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-10 21:19:13,2018-05-10 21:19:13,0.055s,PASSED
,,,,,,
Test Cases/4-Selecting product and view cart,Chrome 66.0.3359.139,,2018-05-10 21:19:13,2018-05-10 21:19:27,13.369s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-10 21:19:13,2018-05-10 21:19:14,1.001s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 21:19:14,2018-05-10 21:19:15,0.231s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 21:19:15,2018-05-10 21:19:15,0.198s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 21:19:15,2018-05-10 21:19:15,0.139s,PASSED
waitForElementPresent,Chrome 66.0.3359.139,,2018-05-10 21:19:15,2018-05-10 21:19:15,0.566s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-10 21:19:15,2018-05-10 21:19:17,2.001s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 66.0.3359.139,,2018-05-10 21:19:17,2018-05-10 21:19:17,0.001s,PASSED
"Statement - Products = driver.findElement(org.openqa.selenium.By.xpath(""/html/body/app-root/app-product-list/div/div[2]/div""))",Chrome 66.0.3359.139,,2018-05-10 21:19:17,2018-05-10 21:19:17,0.027s,PASSED
"Statement - farmerCards = Products.findElements(org.openqa.selenium.By.className(""farmer-card""))",Chrome 66.0.3359.139,,2018-05-10 21:19:17,2018-05-10 21:19:17,0.040s,PASSED
"Statement - For ([i = 1, i <= farmerCards.size(), (i++)])",Chrome 66.0.3359.139,,2018-05-10 21:19:17,2018-05-10 21:19:24,6.939s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-10 21:19:24,2018-05-10 21:19:26,2.003s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 21:19:26,2018-05-10 21:19:27,0.168s,PASSED
verifyElementPresent,Chrome 66.0.3359.139,,2018-05-10 21:19:27,2018-05-10 21:19:27,0.037s,PASSED
,,,,,,
Test Cases/Exit browser,Chrome 66.0.3359.139,use to terminate browser when testcase is done,2018-05-10 21:19:27,2018-05-10 21:19:27,0.815s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 21:19:27,2018-05-10 21:19:27,0.661s,PASSED
