Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Selecting products updates the number in carts,Firefox 59.0,,2018-04-30 18:02:52,2018-04-30 18:03:12,19.971s,ERROR
,,,,,,
Test Cases/Navigate to web,Firefox 59.0,Use to navigate to certain urls,2018-04-30 18:02:52,2018-04-30 18:03:08,15.547s,PASSED
openBrowser,Firefox 59.0,,2018-04-30 18:02:53,2018-04-30 18:02:58,5.674s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-30 18:02:58,2018-04-30 18:03:08,9.467s,PASSED
,,,,,,
Test Cases/Login with credentials,Firefox 59.0,This test case will login with given infos,2018-04-30 18:03:08,2018-04-30 18:03:09,0.952s,PASSED
setText,Firefox 59.0,,2018-04-30 18:03:08,2018-04-30 18:03:08,0.212s,PASSED
setText,Firefox 59.0,,2018-04-30 18:03:08,2018-04-30 18:03:08,0.110s,PASSED
click,Firefox 59.0,,2018-04-30 18:03:09,2018-04-30 18:03:09,0.380s,PASSED
,,,,,,
Test Cases/Selecting product,Firefox 59.0,,2018-04-30 18:03:09,2018-04-30 18:03:11,2.426s,ERROR
delay,Firefox 59.0,,2018-04-30 18:03:09,2018-04-30 18:03:11,2.017s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Firefox 59.0,,2018-04-30 18:03:11,2018-04-30 18:03:11,0.003s,PASSED
"Statement - Products = driver.findElement(org.openqa.selenium.By.xpath(""/html/body/app-root/app-product-list/div/div[2]/div""))",Firefox 59.0,,2018-04-30 18:03:11,2018-04-30 18:03:11,0.041s,PASSED
"Statement - farmerCards = Products.findElements(org.openqa.selenium.By.className(""farmer-card""))",Firefox 59.0,,2018-04-30 18:03:11,2018-04-30 18:03:11,0.042s,PASSED
"Statement - buttonAddProduct = driver.findElement(org.openqa.selenium.By.xpath(""/html/body/app-root/app-product-list/div/div[2]/div/div["" + i + ""]/a/div[2]/div[2]/button""))",Firefox 59.0,,2018-04-30 18:03:11,2018-04-30 18:03:11,0.000s,PASSED
,,,,,,
Test Cases/Exit browser,Firefox 59.0,use to terminate browser when testcase is done,2018-04-30 18:03:11,2018-04-30 18:03:12,0.514s,PASSED
closeBrowser,Firefox 59.0,,2018-04-30 18:03:12,2018-04-30 18:03:12,0.300s,PASSED
