Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Selecting products updates the number in carts,Firefox 59.0,,2018-04-30 18:36:22,2018-04-30 18:36:49,26.595s,PASSED
,,,,,,
Test Cases/Navigate to web,Firefox 59.0,Use to navigate to certain urls,2018-04-30 18:36:22,2018-04-30 18:36:36,13.428s,PASSED
openBrowser,Firefox 59.0,,2018-04-30 18:36:23,2018-04-30 18:36:29,5.742s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-30 18:36:29,2018-04-30 18:36:36,7.237s,PASSED
,,,,,,
Test Cases/Login with credentials,Firefox 59.0,This test case will login with given infos,2018-04-30 18:36:36,2018-04-30 18:36:37,0.967s,PASSED
setText,Firefox 59.0,,2018-04-30 18:36:36,2018-04-30 18:36:36,0.208s,PASSED
setText,Firefox 59.0,,2018-04-30 18:36:36,2018-04-30 18:36:36,0.114s,PASSED
click,Firefox 59.0,,2018-04-30 18:36:36,2018-04-30 18:36:37,0.371s,PASSED
,,,,,,
Test Cases/Selecting product,Firefox 59.0,,2018-04-30 18:36:37,2018-04-30 18:36:48,11.160s,PASSED
delay,Firefox 59.0,,2018-04-30 18:36:37,2018-04-30 18:36:39,2.021s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Firefox 59.0,,2018-04-30 18:36:39,2018-04-30 18:36:39,0.002s,PASSED
"Statement - Products = driver.findElement(org.openqa.selenium.By.xpath(""/html/body/app-root/app-product-list/div/div[2]/div""))",Firefox 59.0,,2018-04-30 18:36:39,2018-04-30 18:36:39,0.040s,PASSED
"Statement - farmerCards = Products.findElements(org.openqa.selenium.By.className(""farmer-card""))",Firefox 59.0,,2018-04-30 18:36:39,2018-04-30 18:36:39,0.027s,PASSED
"Statement - For ([i = 1, i <= farmerCards.size(), (i++)])",Firefox 59.0,,2018-04-30 18:36:39,2018-04-30 18:36:46,6.768s,PASSED
delay,Firefox 59.0,,2018-04-30 18:36:46,2018-04-30 18:36:48,2.002s,PASSED
,,,,,,
Test Cases/Exit browser,Firefox 59.0,use to terminate browser when testcase is done,2018-04-30 18:36:48,2018-04-30 18:36:48,0.448s,PASSED
closeBrowser,Firefox 59.0,,2018-04-30 18:36:48,2018-04-30 18:36:48,0.288s,PASSED
