Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Selecting products updates the number in carts,Firefox 59.0,,2018-04-30 14:58:21,2018-04-30 14:58:46,24.690s,ERROR
,,,,,,
Test Cases/Navigate to web,Firefox 59.0,Use to navigate to certain urls,2018-04-30 14:58:22,2018-04-30 14:58:42,20.260s,PASSED
openBrowser,Firefox 59.0,,2018-04-30 14:58:22,2018-04-30 14:58:28,5.671s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-30 14:58:28,2018-04-30 14:58:42,14.170s,PASSED
,,,,,,
Test Cases/Login with credentials,Firefox 59.0,This test case will login with given infos,2018-04-30 14:58:42,2018-04-30 14:58:43,0.952s,PASSED
setText,Firefox 59.0,,2018-04-30 14:58:42,2018-04-30 14:58:43,0.194s,PASSED
setText,Firefox 59.0,,2018-04-30 14:58:43,2018-04-30 14:58:43,0.118s,PASSED
click,Firefox 59.0,,2018-04-30 14:58:43,2018-04-30 14:58:43,0.388s,PASSED
,,,,,,
Test Cases/Selecting product,Firefox 59.0,,2018-04-30 14:58:43,2018-04-30 14:58:46,2.425s,ERROR
delay,Firefox 59.0,,2018-04-30 14:58:43,2018-04-30 14:58:45,2.032s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Firefox 59.0,,2018-04-30 14:58:45,2018-04-30 14:58:45,0.004s,PASSED
"Statement - Products = driver.findElement(org.openqa.selenium.By.xpath(""/html/body/app-root/app-product-list/div/div[2]/div""))",Firefox 59.0,,2018-04-30 14:58:45,2018-04-30 14:58:46,0.060s,PASSED
"Statement - farmerCards = Products.findElements(org.openqa.selenium.By.className(""farmer-card""))",Firefox 59.0,,2018-04-30 14:58:46,2018-04-30 14:58:46,0.026s,PASSED
Statement - For (def i : farmerCards),Firefox 59.0,,2018-04-30 14:58:46,2018-04-30 14:58:46,0.016s,PASSED
,,,,,,
Test Cases/Exit browser,Firefox 59.0,use to terminate browser when testcase is done,2018-04-30 14:58:46,2018-04-30 14:58:46,0.504s,PASSED
closeBrowser,Firefox 59.0,,2018-04-30 14:58:46,2018-04-30 14:58:46,0.301s,PASSED
