Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login as admin,Firefox 59.0,,2018-04-28 23:51:03,2018-04-28 23:51:25,22.197s,PASSED
,,,,,,
Test Cases/Navigate to web,Firefox 59.0,Use to navigate to certain urls,2018-04-28 23:51:04,2018-04-28 23:51:23,19.382s,PASSED
openBrowser,Firefox 59.0,,2018-04-28 23:51:04,2018-04-28 23:51:10,5.630s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-28 23:51:10,2018-04-28 23:51:23,13.298s,PASSED
,,,,,,
Test Cases/Login with credentials,Firefox 59.0,This test case will login with given infos,2018-04-28 23:51:23,2018-04-28 23:51:24,0.978s,PASSED
setText,Firefox 59.0,,2018-04-28 23:51:23,2018-04-28 23:51:24,0.184s,PASSED
setText,Firefox 59.0,,2018-04-28 23:51:24,2018-04-28 23:51:24,0.101s,PASSED
click,Firefox 59.0,,2018-04-28 23:51:24,2018-04-28 23:51:24,0.363s,PASSED
,,,,,,
Test Cases/Verify admin landing page,Firefox 59.0,Verify if logged in as admin,2018-04-28 23:51:24,2018-04-28 23:51:25,0.833s,PASSED
verifyElementText,Firefox 59.0,,2018-04-28 23:51:24,2018-04-28 23:51:25,0.560s,PASSED
verifyElementText,Firefox 59.0,,2018-04-28 23:51:25,2018-04-28 23:51:25,0.040s,PASSED
,,,,,,
Test Cases/Exit browser,Firefox 59.0,use to terminate browser when testcase is done,2018-04-28 23:51:25,2018-04-28 23:51:25,0.483s,PASSED
closeBrowser,Firefox 59.0,,2018-04-28 23:51:25,2018-04-28 23:51:25,0.288s,PASSED
