Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify all available product is shown,Firefox 59.0,,2018-04-29 12:36:54,2018-04-29 12:37:21,27.579s,FAILED
,,,,,,
Test Cases/Navigate to web,Firefox 59.0,Use to navigate to certain urls,2018-04-29 12:36:54,2018-04-29 12:37:16,21.862s,PASSED
openBrowser,Firefox 59.0,,2018-04-29 12:36:55,2018-04-29 12:37:02,7.076s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-29 12:37:02,2018-04-29 12:37:16,14.261s,PASSED
,,,,,,
Test Cases/Login with credentials,Firefox 59.0,This test case will login with given infos,2018-04-29 12:37:16,2018-04-29 12:37:17,1.005s,PASSED
setText,Firefox 59.0,,2018-04-29 12:37:16,2018-04-29 12:37:17,0.196s,PASSED
setText,Firefox 59.0,,2018-04-29 12:37:17,2018-04-29 12:37:17,0.119s,PASSED
click,Firefox 59.0,,2018-04-29 12:37:17,2018-04-29 12:37:17,0.396s,PASSED
,,,,,,
Test Cases/Test product add,Firefox 59.0,,2018-04-29 12:37:17,2018-04-29 12:37:21,3.480s,FAILED
waitForElementPresent,Firefox 59.0,,2018-04-29 12:37:17,2018-04-29 12:37:18,1.061s,PASSED
delay,Firefox 59.0,,2018-04-29 12:37:18,2018-04-29 12:37:20,2.031s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Firefox 59.0,,2018-04-29 12:37:20,2018-04-29 12:37:20,0.011s,PASSED
"Statement - Products = driver.findElement(org.openqa.selenium.By.xpath(""/html/body/app-root/app-product-list/div/div[2]/div""))",Firefox 59.0,,2018-04-29 12:37:20,2018-04-29 12:37:20,0.037s,PASSED
"Statement - farmerCards = Products.findElements(org.openqa.selenium.By.className(""farmer-card""))",Firefox 59.0,,2018-04-29 12:37:20,2018-04-29 12:37:20,0.027s,PASSED
"Statement - println(""Amount of product: "" + farmerCards.size())",Firefox 59.0,,2018-04-29 12:37:20,2018-04-29 12:37:21,0.005s,PASSED
verifyEqual,Firefox 59.0,,2018-04-29 12:37:21,2018-04-29 12:37:21,0.022s,FAILED
,,,,,,
Test Cases/Exit browser,Firefox 59.0,use to terminate browser when testcase is done,2018-04-29 12:37:21,2018-04-29 12:37:21,0.567s,PASSED
closeBrowser,Firefox 59.0,,2018-04-29 12:37:21,2018-04-29 12:37:21,0.374s,PASSED
