Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login as admin,Firefox 59.0,,2018-04-28 16:53:38,2018-04-28 16:53:59,21.140s,PASSED
,,,,,,
Test Cases/Navigate to web,Firefox 59.0,Use to navigate to certain urls,2018-04-28 16:53:39,2018-04-28 16:53:58,19.411s,PASSED
openBrowser,Firefox 59.0,,2018-04-28 16:53:39,2018-04-28 16:53:45,5.714s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-28 16:53:45,2018-04-28 16:53:58,13.214s,PASSED
,,,,,,
Test Cases/Login with credentials,Firefox 59.0,This test case will login with given infos,2018-04-28 16:53:58,2018-04-28 16:53:59,0.929s,PASSED
setText,Firefox 59.0,,2018-04-28 16:53:58,2018-04-28 16:53:59,0.219s,PASSED
setText,Firefox 59.0,,2018-04-28 16:53:59,2018-04-28 16:53:59,0.112s,PASSED
click,Firefox 59.0,,2018-04-28 16:53:59,2018-04-28 16:53:59,0.356s,PASSED
